NEW SEED: 
768975 SEED IS
soil768975 -> 3378899588
fert3378899588 -> 1117483134
wat1117483134 -> 985406790
light985406790 -> 1270273706
temp1270273706 -> 2581042572
humid2581042572 -> 3472142847
location3472142847 -> 1850633429
location3472142847 -> 3472142847
humid2581042572 -> 2581042572
location2581042572 -> 1948460316
location2581042572 -> 2581042572
temp1270273706 -> 1270273706
humid1270273706 -> 1381427464
location1381427464 -> 2638447534
location1381427464 -> 1381427464
humid1270273706 -> 1270273706
location1270273706 -> 3120647936
location1270273706 -> 1270273706
light985406790 -> 985406790
temp985406790 -> 3226719242
humid3226719242 -> 4188385258
location4188385258 -> 3012375711
location4188385258 -> 4188385258
humid3226719242 -> 3226719242
location3226719242 -> 2299238962
location3226719242 -> 3226719242
temp985406790 -> 985406790
humid985406790 -> 1806910654
location1806910654 -> 1263337420
location1806910654 -> 1806910654
humid985406790 -> 985406790
location985406790 -> 990510499
location985406790 -> 985406790
wat1117483134 -> 1117483134
light1117483134 -> 1402350050
temp1402350050 -> 2713118916
humid2713118916 -> 3228545822
location3228545822 -> 2301065542
location3228545822 -> 3228545822
humid2713118916 -> 2713118916
location2713118916 -> 2080536660
location2713118916 -> 2713118916
temp1402350050 -> 1402350050
humid1402350050 -> 1513503808
location1513503808 -> 2770523878
location1513503808 -> 1513503808
humid1402350050 -> 1402350050
location1402350050 -> 2659370120
location1402350050 -> 1402350050
light1117483134 -> 1117483134
temp1117483134 -> 3358795586
humid3358795586 -> 3752429560
location3752429560 -> 4161598067
location3752429560 -> 3752429560
humid3358795586 -> 3358795586
location3358795586 -> 2508753585
location3358795586 -> 3358795586
temp1117483134 -> 1117483134
humid1117483134 -> 1228636892
location1228636892 -> 2255851245
location1228636892 -> 1228636892
humid1117483134 -> 1117483134
location1117483134 -> 125378290
location1117483134 -> 1117483134
fert3378899588 -> 3378899588
wat3378899588 -> 2831821778
light2831821778 -> 1156894766
temp1156894766 -> 487977277
humid487977277 -> 266612306
location266612306 -> 685483328
humid487977277 -> 487977277
